,Crm Cd,Crm Cd Desc,DATE OCC
3864,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,2020-03-01
328295,830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),2021-04-09
209043,840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",2021-04-04
2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,2020-02-13
488,850,INDECENT EXPOSURE,2020-01-15
60,860,BATTERY WITH SEXUAL CONTACT,2020-01-01
113155,865,"DRUGS, TO A MINOR",2020-07-01
162292,870,CHILD ABANDONMENT,2020-01-29
68074,880,DISRUPT SCHOOL,2020-01-17
530818,882,INCITING A RIOT,2022-09-03
229563,884,FAILURE TO DISPERSE,2021-07-17
141,886,DISTURBING THE PEACE,2020-11-07
92,888,TRESPASSING,2020-01-02
1695,890,FAILURE TO YIELD,2020-01-14
86,900,VIOLATION OF COURT ORDER,2020-12-07
137,901,VIOLATION OF RESTRAINING ORDER,2020-09-17
546,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,2020-01-16
999,903,CONTEMPT OF COURT,2020-01-28
241246,904,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO),2021-11-11
7069,906,FIREARMS RESTRAINING ORDER (FIREARMS RO),2020-03-30
713,910,KIDNAPPING,2020-01-21
577,920,KIDNAPPING - GRAND ATTEMPT,2020-01-17
6479,921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,2020-01-01
216,922,CHILD STEALING,2020-11-30
199859,924,TELEPHONE PROPERTY - DAMAGE,2021-07-14
675,928,THREATENING PHONE CALLS/LETTERS,2020-10-22
11,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2020-01-05
109438,931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",2020-07-06
4399,932,PEEPING TOM,2020-02-06
3252,933,PROWLER,2020-01-29
189,940,EXTORTION,2020-01-04
41692,942,BRIBERY,2020-01-29
11395,943,CRUELTY TO ANIMALS,2020-09-22
28144,944,CONSPIRACY,2020-01-30
7,946,OTHER MISCELLANEOUS CRIME,2020-01-04
221442,948,BIGAMY,2021-10-16
17402,949,ILLEGAL DUMPING,2020-10-05
3479,950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",2020-05-02
1912,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",2020-10-12
28954,954,CONTRIBUTING,2020-12-01
70,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",2020-06-22
